Perfis Profissionais;Técnico de suporte ao usuário de tecnologia da informação Junior;Técnico de suporte ao usuário de tecnologia da informação Pleno;Técnico de suporte ao usuário de tecnologia da informação Senior;Técnico em manutenção de equipamentos de informática Junior;Técnico em manutenção de equipamentos de informática Pleno;Técnico em manutenção de equipamentos de informática Senior;Gerente de suporte técnico de tecnologia da informação;Analista de suporte computacional Junior;Analista de suporte computacional Pleno;Analista de suporte computacional Senior;Gerente de infraestrutura de tecnologia da informação;Administrador de banco de dados - Junior;Administrador de banco de dados - Pleno;Administrador de banco de dados - Senior;Administrador de sistemas operacionais Junior;Administrador de sistemas operacionais Pleno;Administrador de sistemas operacionais Senior;Analista de redes e de comunicação de dados Junior;Analista de redes e de comunicação de dados Pleno;Analista de redes e de comunicação de dados Senior;Tecnico de Rede (Telecomunicacoes) Junior;Tecnico de Rede (Telecomunicacoes) Pleno;Tecnico de Rede (Telecomunicacoes) Senior;Desenvolvedor de sistemas de tecnologia da informação Junior;Desenvolvedor de sistemas de tecnologia da informação Pleno;Desenvolvedor de sistemas de tecnologia da informação Senior;Analista de sistemas de automação - Junior;Analista de sistemas de automação - Pleno;Analista de sistemas de automação - Senior;Administrador em segurança da informação - Junior;Administrador em segurança da informação - Pleno;Administrador em segurança da informação - Senior;Gerente de segurança da informação;Especialista em Cloud Pleno;Especialista em Cloud Sênior
Guias Salariais 2023;;;;  ;  ;  ; R$ 8.300,00 ; R$ 3.898,44 ; R$ 5.885,94 ; R$ 7.851,56 ; R$ 21.425,00 ; R$ 5.000,00 ; R$ 7.000,00 ; R$ 11.500,00 ; R$ 5.187,50 ; R$ 7.300,00 ; R$ 10.846,88 ; R$ 5.187,50 ; R$ 7.300,00 ; R$ 10.846,88 ;  ;  ;; R$ 4.968,75 ; R$ 9.456,25 ; R$ 12.775,00 ; R$ 5.187,50 ; R$ 7.300,00 ; R$ 14.401,79 ;; R$ 9.202,50 ; R$ 13.225,00 ; R$ 27.328,13 ; R$ 12.641,67 ; R$ 14.500,00 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ; R$ 12.500,00 ;;;; R$ 12.746,88 ; R$ 4.970,62 ; R$ 6.776,04 ; R$ 8.677,09 ; R$ 5.000,00 ; R$ 6.750,00 ; R$ 9.500,00 ; R$ 5.000,00 ; R$ 6.750,00 ; R$ 9.500,00 ;  ;  ;  ; R$ 7.000,00 ; R$ 8.162,50 ; R$ 12.725,00 ; R$ 5.000,00 ; R$ 6.750,00 ; R$ 10.846,88 ; R$ 6.000,00 ; R$ 8.500,00 ; R$ 16.425,00 ; R$ 18.132,14 ; R$ 9.000,00 ; R$ 19.000,00 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ; R$ 8.550,00 ; R$ 3.565,03 ; R$ 4.400,00 ; R$ 9.000,00 ;; R$ 4.750,00 ; R$ 6.250,00 ; R$ 11.757,14 ; R$ 6.526,56 ; R$ 6.900,00 ; R$ 9.000,00 ; R$ 3.666,67 ; R$ 6.050,00 ; R$ 9.000,00 ;  ;  ;  ; R$ 5.500,00 ; R$ 10.250,00 ; R$ 14.500,00 ; R$ 4.451,87 ; R$ 6.900,00 ; R$ 9.500,00 ; R$ 6.450,00 ;; R$ 13.000,00 ; R$ 23.750,00 ; R$ 12.000,00 ; R$ 13.500,00 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ; R$ 9.525,00 ; R$ 3.443,75 ; R$ 5.600,00 ; R$ 6.900,00 ; R$ 17.500,00 ;  ;  ; R$ 9.250,00 ;  ; R$ 8.230,51 ; R$ 8.200,00 ; R$ 3.661,46 ; R$ 6.550,00 ;;  ;  ;  ; R$ 7.500,00 ; R$ 9.000,00 ; R$ 13.500,00 ;  ; R$ 7.195,40 ;; R$ 6.252,08 ; R$ 8.553,13 ;; R$ 25.000,00 ; R$ 9.550,00 ;
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ; R$ 3.003,47 ; R$ 5.442,43 ; R$ 7.419,99 ; R$ 16.500,00 ;  ;  ;;  ;  ; R$ 9.960,94 ; R$ 3.661,46 ; R$ 6.250,00 ; R$ 8.550,00 ;  ;  ;  ;; R$ 10.000,00 ; R$ 13.000,00 ;  ;  ; R$ 9.000,00 ; R$ 5.833,33 ; R$ 7.833,33 ; R$ 14.500,00 ; R$ 14.400,00 ; R$ 11.500,00 ; R$ 17.500,00 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ; R$ 4.574,52 ; R$ 7.146,88 ; R$ 17.500,00 ;  ;  ;  ;  ;  ; R$ 10.613,75 ; R$ 3.645,84 ; R$ 5.833,33 ;;  ;  ;  ;; R$ 12.500,00 ; R$ 11.000,00 ;  ;  ; R$ 8.200,00 ;  ;  ; R$ 12.432,29 ; R$ 20.400,00 ; R$ 11.850,00 ; R$ 13.700,00 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ; R$ 4.647,31 ; R$ 6.733,92 ; R$ 18.666,67 ;  ;  ;  ;  ;  ;  ; R$ 3.661,46 ; R$ 5.822,91 ;;  ;  ;  ; R$ 5.880,13 ; R$ 9.000,00 ; R$ 12.916,67 ;  ;  ; R$ 9.583,34 ;  ;  ; R$ 14.637,50 ; R$ 17.325,00 ; R$ 8.771,88 ; R$ 14.350,00 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;; R$ 18.500,00 ;  ;  ;  ;  ;  ;  ; R$ 3.925,84 ; R$ 5.822,91 ; R$ 8.000,00 ;  ;  ;  ; R$ 5.745,83 ; R$ 9.800,00 ;;  ;  ; R$ 9.025,00 ;  ;  ; R$ 12.166,67 ; R$ 15.512,50 ; R$ 8.921,88 ; R$ 14.700,00 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 6.686,46 ; R$ 12.000,00 ;  ;  ;  ;  ;  ;  ;; R$ 5.619,79 ; R$ 8.600,00 ;  ;  ;  ; R$ 6.500,00 ; R$ 9.083,33 ;;  ;  ;  ;  ;  ; R$ 12.912,50 ; R$ 22.432,29 ; R$ 8.921,88 ; R$ 10.368,75 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 7.954,33 ; R$ 17.300,00 ;  ;  ;  ;  ;  ;  ; R$ 4.120,00 ; R$ 5.822,91 ; R$ 8.000,00 ;  ;  ;  ;  ;; R$ 9.061,19 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 17.500,00 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 13.100,00 ;  ;  ;  ;  ;  ;  ;; R$ 6.025,52 ; R$ 9.100,00 ;  ;  ;  ;  ;; R$ 11.732,13 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 10.984,38 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 15.200,00 ;  ;  ;  ;  ;  ;  ;;; R$ 8.000,00 ;  ;  ;  ;  ; R$ 7.458,25 ; R$ 12.893,75 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 17.500,00 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 13.450,00 ;  ;  ;  ;  ;  ;  ; R$ 5.166,67 ; R$ 6.377,08 ; R$ 9.075,00 ;  ;  ;  ;  ; R$ 9.602,09 ; R$ 12.841,88 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 10.984,38 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 16.166,67 ;  ;  ;  ;  ;  ;  ;  ;; R$ 7.796,88 ;  ;  ;  ;  ; R$ 9.333,33 ; R$ 12.500,00 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 17.500,00 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 20.640,63 ;  ;  ;  ;  ;  ;  ;  ; R$ 4.166,67 ; R$ 8.934,38 ;  ;  ;  ;  ;  ; R$ 12.182,50 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 15.343,75 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 13.738,75 ;  ;  ;  ;  ;  ;  ;  ; R$ 6.666,67 ; R$ 8.000,00 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 17.325,00 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 9.075,00 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 11.375,00 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 10.039,78 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 14.000,00 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 9.748,75 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 12.166,67 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 12.068,29 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 13.500,00 ;  ;  ;  ;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 8.973,96 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 9.587,50 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 12.000,00 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 8.166,67 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo; R$ 1.350,00 ; R$ 1.600,00 ; R$ 2.700,00 ; R$ 1.389,82 ; R$ 2.100,00 ; R$ 2.600,00 ; R$ 10.164,67 ; R$ 3.500,00 ; R$ 6.476,00 ; R$ 8.678,25 ; R$ 10.900,33 ; R$ 3.500,00 ; R$ 6.418,25 ; R$ 9.184,50 ; R$ 4.500,00 ; R$ 6.693,75 ; R$ 10.953,00 ; R$ 3.500,00 ; R$ 6.014,75 ; R$ 8.933,50 ; R$ 1.836,12 ; R$ 2.196,82 ; R$ 3.130,93 ; R$ 6.300,00 ; R$ 6.793,00 ; R$ 9.177,25 ;  ; R$ 3.800,00 ; R$ 8.141,81 ;  ; R$ 6.502,00 ; R$ 11.404,25 ;;  ;  
Contratações Governo; R$ 1.319,17 ; R$ 2.000,00 ;; R$ 1.327,64 ; R$ 1.723,79 ;; R$ 4.000,08 ;; R$ 5.439,50 ; R$ 8.327,25 ; R$ 13.944,34 ; R$ 4.362,53 ; R$ 8.000,00 ; R$ 9.184,50 ; R$ 2.417,10 ; R$ 6.693,75 ; R$ 9.309,75 ; R$ 3.750,00 ; R$ 6.192,84 ; R$ 8.113,11 ;; R$ 2.627,81 ;  ; R$ 4.940,00 ; R$ 4.500,00 ; R$ 9.000,00 ;  ; R$ 9.000,00 ; R$ 8.141,81 ;  ; R$ 6.502,00 ; R$ 11.581,68 ; R$ 10.500,00 ;  ;  
