Perfis Profissionais;Técnico de suporte ao usuário de tecnologia da informação Junior;Técnico de suporte ao usuário de tecnologia da informação Pleno;Técnico de suporte ao usuário de tecnologia da informação Senior;Técnico em manutenção de equipamentos de informática Junior;Técnico em manutenção de equipamentos de informática Pleno;Técnico em manutenção de equipamentos de informática Senior;Gerente de suporte técnico de tecnologia da informação;Analista de suporte computacional Junior;Analista de suporte computacional Pleno;Analista de suporte computacional Senior;Gerente de infraestrutura de tecnologia da informação;Administrador de banco de dados - Junior;Administrador de banco de dados - Pleno;Administrador de banco de dados - Senior;Administrador de sistemas operacionais Junior;Administrador de sistemas operacionais Pleno;Administrador de sistemas operacionais Senior;Analista de redes e de comunicação de dados Junior;Analista de redes e de comunicação de dados Pleno;Analista de redes e de comunicação de dados Senior;Tecnico de Rede (Telecomunicacoes) Junior;Tecnico de Rede (Telecomunicacoes) Pleno;Tecnico de Rede (Telecomunicacoes) Senior;Desenvolvedor de sistemas de tecnologia da informação Junior;Desenvolvedor de sistemas de tecnologia da informação Pleno;Desenvolvedor de sistemas de tecnologia da informação Senior;Analista de sistemas de automação - Junior;Analista de sistemas de automação - Pleno;Analista de sistemas de automação - Senior;Administrador em segurança da informação - Junior;Administrador em segurança da informação - Pleno;Administrador em segurança da informação - Senior;Gerente de segurança da informação;Especialista em Cloud Pleno;Especialista em Cloud Sênior
Contratações Governo; R$ 1.191,48 ; R$ 1.723,79 ; R$ 2.635,52 ; R$ 1.327,64 ; R$ 1.642,94 ; R$ 2.400,00 ; R$ 9.632,96 ;; R$ 5.858,75 ; R$ 6.970,64 ;;  ; R$ 6.506,01 ; R$ 9.929,10 ;  ; R$ 6.495,86 ; R$ 9.309,75 ; R$ 3.900,00 ; R$ 3.650,40 ; R$ 10.366,92 ;  ; R$ 2.855,55 ;  ; R$ 2.059,58 ; R$ 7.800,00 ; R$ 11.000,00 ;  ; R$ 4.624,20 ; R$ 7.179,91 ;  ;; R$ 8.351,91 ; R$ 18.369,88 ;  ;  
Contratações Governo; R$ 1.191,48 ; R$ 1.935,96 ; R$ 2.635,52 ;  ; R$ 1.854,02 ; R$ 2.600,00 ; R$ 8.351,91 ; R$ 3.698,66 ; R$ 5.257,00 ;; R$ 7.000,00 ;  ;; R$ 9.929,10 ;  ; R$ 4.787,76 ; R$ 9.058,33 ; R$ 3.527,99 ; R$ 3.820,00 ; R$ 8.800,00 ;  ; R$ 3.007,38 ;  ;  ;  ;  ;  ; R$ 3.557,08 ;;  ; R$ 7.257,31 ; R$ 11.581,68 ; R$ 18.758,33 ;  ;  
Contratações Governo; R$ 1.191,48 ; R$ 1.777,73 ; R$ 2.684,53 ;  ; R$ 1.570,23 ; R$ 2.600,00 ; R$ 9.632,96 ; R$ 3.500,00 ; R$ 5.771,00 ; R$ 6.590,90 ; R$ 16.582,20 ;  ; R$ 5.855,41 ; R$ 9.929,10 ;  ; R$ 8.500,00 ; R$ 9.058,33 ;  ; R$ 4.897,29 ; R$ 7.105,84 ;  ; R$ 2.627,81 ;  ;  ;  ;  ;  ; R$ 8.688,72 ; R$ 11.084,96 ;  ; R$ 7.257,31 ; R$ 10.000,00 ;  ;  ;  
Contratações Governo; R$ 1.191,48 ; R$ 1.798,48 ; R$ 2.832,23 ;  ; R$ 2.040,33 ; R$ 2.670,74 ; R$ 4.550,00 ; R$ 3.500,00 ; R$ 5.377,41 ; R$ 6.590,90 ; R$ 16.582,20 ;  ;  ; R$ 9.929,10 ;  ; R$ 5.559,58 ;;  ;; R$ 7.105,84 ;  ; R$ 2.855,55 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 7.160,00 ; R$ 10.503,18 ;  ;  ;  
Contratações Governo; R$ 1.191,48 ; R$ 1.798,48 ; R$ 3.238,17 ;  ;  ; R$ 2.670,74 ; R$ 8.819,98 ; R$ 3.500,00 ; R$ 4.846,14 ; R$ 6.590,90 ; R$ 8.351,91 ;  ;  ; R$ 8.936,19 ;  ; R$ 4.654,65 ; R$ 8.341,05 ;  ;  ; R$ 7.105,84 ;  ; R$ 3.007,38 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 5.939,55 ;;  ;  ;  
Contratações Governo; R$ 1.191,48 ; R$ 1.800,00 ;;  ;  ; R$ 2.127,72 ; R$ 4.657,51 ; R$ 3.500,00 ; R$ 4.582,85 ; R$ 6.590,90 ; R$ 16.582,20 ;  ;  ;;  ;  ; R$ 8.341,05 ;  ;  ; R$ 6.169,34 ;  ; R$ 1.653,30 ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 9.450,29 ;  ;  ;  
Contratações Governo; R$ 1.389,82 ; R$ 2.200,00 ; R$ 3.000,00 ;  ;  ; R$ 2.127,72 ; R$ 9.632,96 ; R$ 2.700,00 ; R$ 3.750,00 ; R$ 6.590,90 ; R$ 10.500,00 ;  ;  ;;  ;  ;;  ;  ; R$ 7.788,67 ;  ; R$ 2.230,00 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo; R$ 1.570,23 ; R$ 2.200,00 ; R$ 2.858,60 ;  ;  ; R$ 3.065,00 ; R$ 4.550,00 ; R$ 4.000,00 ; R$ 4.475,00 ; R$ 6.500,00 ; R$ 7.070,88 ;  ;  ; R$ 9.940,78 ;  ;  ; R$ 9.204,79 ;  ;  ; R$ 7.788,67 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo; R$ 1.570,23 ; R$ 2.200,00 ; R$ 2.600,00 ;  ;  ; R$ 2.127,72 ; R$ 8.018,00 ; R$ 3.669,67 ;; R$ 6.500,00 ; R$ 11.904,76 ;  ;  ; R$ 9.940,78 ;  ;  ; R$ 9.204,79 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo; R$ 1.600,00 ; R$ 1.928,00 ; R$ 3.297,50 ;  ;  ; R$ 2.127,72 ; R$ 5.188,00 ;  ; R$ 4.897,29 ; R$ 7.500,00 ; R$ 18.070,60 ;  ;  ; R$ 10.446,39 ;  ;  ;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;; R$ 1.928,00 ; R$ 2.434,68 ;  ;  ; R$ 2.127,72 ;  ;  ; R$ 4.475,40 ; R$ 6.885,96 ;  ;  ;  ;;  ;  ; R$ 7.985,81 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo; R$ 1.327,64 ;; R$ 2.957,94 ;  ;  ; R$ 2.127,72 ;  ;  ; R$ 5.000,00 ; R$ 6.885,96 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo; R$ 1.600,00 ; R$ 2.245,30 ; R$ 2.584,30 ;  ;  ; R$ 2.127,72 ;  ;  ; R$ 5.000,00 ; R$ 6.592,11 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo; R$ 1.570,23 ; R$ 1.832,35 ; R$ 2.532,00 ;  ;  ; R$ 2.127,72 ;  ;  ; R$ 4.227,27 ; R$ 6.592,11 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo; R$ 1.570,23 ; R$ 1.601,68 ; R$ 2.684,53 ;  ;  ; R$ 2.127,72 ;  ;  ; R$ 4.600,00 ; R$ 9.150,33 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ; R$ 2.150,00 ; R$ 2.684,53 ;  ;  ; R$ 2.127,72 ;  ;  ; R$ 3.632,90 ; R$ 7.134,84 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ; R$ 2.500,00 ; R$ 2.537,28 ;  ;  ; R$ 2.127,72 ;  ;  ; R$ 3.632,90 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ; R$ 2.040,33 ; R$ 3.247,72 ;  ;  ; R$ 2.127,72 ;  ;  ; R$ 5.000,00 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ; R$ 2.073,73 ;;  ;  ; R$ 2.127,72 ;  ;  ;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ; R$ 2.267,21 ;  ;  ;  ; R$ 2.127,72 ;  ;  ; R$ 4.362,53 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;;  ;  ;  ; R$ 2.127,72 ;  ;  ; R$ 6.351,71 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ; R$ 1.818,40 ;  ;  ;  ; R$ 2.127,72 ;  ;  ; R$ 5.421,66 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ; R$ 2.200,00 ;  ;  ;  ; R$ 2.127,72 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ; R$ 2.127,72 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ; R$ 2.436,94 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ; R$ 2.127,72 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ; R$ 2.127,72 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ; R$ 3.066,26 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ; R$ 3.256,00 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ; R$ 2.127,72 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ; R$ 2.127,72 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ; R$ 2.127,72 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ; R$ 2.797,44 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ; R$ 2.984,66 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ; R$ 1.708,00 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Contratações Governo;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
PNAD; R$ 1.600,00 ; R$ 2.500,00 ; R$ 3.700,00 ; R$ 1.600,00 ; R$ 2.500,00 ;;; R$ 3.500,00 ; R$ 5.500,00 ; R$ 9.000,00 ;; R$ 3.000,00 ; R$ 6.000,00 ; R$ 8.000,00 ; R$ 3.000,00 ;; R$ 8.000,00 ;;; R$ 7.300,00 ; R$ 1.500,00 ; R$ 2.000,00 ; R$ 3.000,00 ; R$ 4.000,00 ; R$ 6.100,00 ; R$ 10.000,00 ; R$ 3.500,00 ; R$ 5.500,00 ; R$ 9.000,00 ;;;;;;
PNAD; R$ 1.500,00 ; R$ 2.000,00 ; R$ 3.000,00 ; R$ 1.500,00 ; R$ 2.000,00 ; R$ 3.000,00 ;;;;;; R$ 3.000,00 ;; R$ 8.000,00 ;;;;;;; R$ 1.600,00 ; R$ 2.500,00 ; R$ 3.700,00 ; R$ 3.000,00 ; R$ 4.700,00 ;;;;;;;;;;
PNAD; R$ 1.500,00 ; R$ 2.200,00 ; R$ 3.500,00 ; R$ 1.500,00 ; R$ 2.200,00 ;;;;;;;;;;;;;;;; R$ 1.500,00 ; R$ 2.500,00 ; R$ 4.000,00 ; R$ 2.500,00 ; R$ 4.000,00 ; R$ 7.000,00 ;;;;;;;;;
PNAD; R$ 1.500,00 ; R$ 2.500,00 ;; R$ 1.500,00 ; R$ 2.500,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PNAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAGED; R$ 1.493,00 ; R$ 1.800,00 ; R$ 2.204,00 ; R$ 1.400,00 ; R$ 1.708,00 ; R$ 2.057,00 ; R$ 13.000,00 ;;;; R$ 15.779,70 ; R$ 4.071,00 ; R$ 7.500,00 ; R$ 10.816,00 ; R$ 2.650,00 ; R$ 5.227,00 ; R$ 10.500,00 ;; R$ 4.030,00 ; R$ 7.684,00 ; R$ 1.332,00 ; R$ 1.669,00 ; R$ 2.200,00 ; R$ 3.600,00 ; R$ 6.428,00 ; R$ 9.741,00 ; R$ 2.500,00 ; R$ 3.896,00 ;;; R$ 6.500,00 ; R$ 10.017,00 ; R$ 21.000,00 ; R$ 12.000,00 ; R$ 17.505,00 
CAGED;;;; R$ 1.274,00 ; R$ 1.500,00 ; R$ 1.980,00 ; R$ 10.828,00 ;;;; R$ 18.709,68 ;;;;;;;;;; R$ 1.282,00 ; R$ 1.500,00 ; R$ 1.902,00 ; R$ 2.500,00 ; R$ 4.130,00 ; R$ 7.500,00 ;;;;;;;;;
CAGED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
